Canonical,English [Westron] {Rohirric},Sindarin [Ñoldorin] {Unknown/Other},Quenya [Khuzdul],Scale,Parent,Type,Icon,I page,S page,S,SL,L page,L,LL,Outstanding Issues,Location
pendlanthir-s,Stair Falls,Pendlanthir*,,6,Minhiriath,Water,RE,,"54,",X,1,45,X,6,redraw the region at high detail,"The river Sirannon, after the dam at the gate, that formed the pool of the watcher in the water lived"
andeithel-s,Langwell (River),Andeithel*,,5,,Water/River,,,"49,58",X,1,39,X,6
andlo-s,Long Marshes,Andló*,,6,Esgaroth,Marsh,,,"74,",X,1,42,X,6,"Verify canon, Chris Taylor map"
osgiliath-s,City of Stars*,Osgiliath,,6,Gondor,City,,,"25,",X,1,42,X,6
achad-tarlang-s,Tarlang's Neck,Achad Tarlang,,6,Gondor,Location/Pass,,,"51,65",X,1,43,X,6
nen-cenedril-s,Mirrormere,Nen Cenedril*,,6,Highaiglir,Water/Lake,,,"52,68",X,1,44,X,6
orod-gram-s,Mt. Gram,Orod Gram*,,6,Hithaiglir,Mountain,,,"52,",X,1,44,X,6,,"A mountain in north Eriador; its exact location is unknown but it probably was located either in the Ettenmoors or the Mountains of Angmar, or somewhere else in the northern Misty Mountains."
durthang-s,(Dark Oppression),Durthang,,6,Isenmouthe,City/Fortress,,,"52,",X,1,44,X,6,,"Northern Ephel Dúath, on the slopes above the Isenmouthe"
cerin-amroth-s,Amroth's Mound,Cerin Amroth,,6,Lothlorien,Location,,,"54,",X,1,45,X,6,,Mound in Lothlórien
eryn-morn-s,Dimholt (Dark Wood),Eryn Morn*,,6,Rohan,Forest,,,"53,",X,1,46,X,6,,"Pine and fir forest, base of Dwimorberg, past Dunharrow.  Road to Paths of the Dead."
eryn-uireb-s,Everholt (Eternal Wood),Eryn Uireb*,,6,Rohan,Region,,,"55,73,",X,1,46,X,6,,"A section of the firienholt, known for its boars."
imladnur-s,Deeping Coomb,Imladnûr*,,6,Rohan,Region,,,"53,",X,1,47,X,6,,"The deep, well-defended valley in the northern White Mountains that held Helm's Deep and the castle of the Hornburg. The site of an important battle, the Battle of the Hornburg, during the War of the Ring. The word coomb is a rare Brythonic survival word; meaning a small deep dry valley, easily defended. It gives its name to many places in the British Isles."
amon-hen-s,Hill of Sight,Amon Hen,,6,,,,,"62,",X,1,47,X,6,,west side
amon-lhaw-s,Hill of Ear,Amon Lhaw,,6,,,,,"62,71",X,1,47,X,6,lawd/lhaw,east side
annon-eryn-s,Forest Gate,Annon Eryn*,,6,,,,,"62,",X,1,48,X,6
emyn-arnen-s,Arnen Hills,Emyn Arnen,,5,Gondor,Hills,,,"29,",X,1,25,X,6
ennyn-moria-s,Moria Gate,Ennyn Moria*,,5,Minhiriath,Structure,,,"40,73,",X,1,33,X,7
tol-brandir-s,,Tol Brandir,,6,Gondor,Island,,,"62,",X,1,42,X,7
carchost-s,,Carchost,,6,Morannon,Structure/Tower,,,"54,",X,1,45,X,7,,East tower of the Morannon
narchost-s,,Narchost,,6,Morannon,Structure/Tower,,,"54,",X,1,45,X,7,,West tower of the Morannon
parth-galen-s,Greenfield, Parth Galen,,6,Nen Hithoel,Region,,,"55,",X,1,45,X,8,,"A green lawn above the falls of Rauros, at the foot of Amon Hen"
amon-lanc-s,Bald Hill,Amon Lanc,,5,Lasgalen,Hill,,,"37,",X,X,30,X,5,,Name of Dol Guldur before and after Sauron
dol-guldur-s,Hill of Sorcery (see: amon lanc),Dol Guldur,,5,Lasgalen,Structure/Tower,,,"38,64,",X,X,31,X,6
ennorath-s,Middle-earth,Ennorath,Endor,0,,Region,,,"60,",X,X,"4,12",X,X
ered-moria-s,Mountains of Moria,Ered Moria,,5,Hithaiglir,Mountains,,,"36,",X,X,29,X,X
maegond-s,Good Stone,Maegond (Spur),,5,Mordor,Mountains,,,"41,",X,X,,,X,"Non-cannon, part of LOTR RPG"
calembel-s,(Green field*),Calembel,,5,Gondor,Region,,,"31,",X,,27,X,5
morigost-s,Dark Fortress,Morigost,,5,Mordor,City/Fortress,,,"40,",X,,,,X,,"Non-cannon, part of LOTR RPG"
cirith-gorgor-s,,Cirith Gorgor,,5,Mordor,Location,,,"40,",X,,33,X,X,,The pass of the Morannon
bamfurlong-e,Bamfurlong (Bean-field),,?lad,6,i Drann,Location,,,,X,,,,X,,"The field of Farmer Maggot, Marish, Eastern Shire"
near-harad-e,Near Harad,? Harad,,3,Harad,Region,,,,,X,"5,15",X,3,"Translate ""near"" to Sindarin (not obvious)"
far-harad-e,Far Harad,Haeron? + Harad,,3,Harad,Region,,,,,X,"5,15",X,3
,City of Corsairs,Caras ?,,5,Harad,City,,,,,,29,X,5,"Conjugate ""nor/ner"" (run) as (runner), the root of Corsair"
withywindle-e,Withywindle,,,,Eryn Iaur,River,,,,,,48,X,,,River through the old forest
framsburg-e,Framsburg,,,,,,,,,,,,,,"Verify canon, stardogg map"
helevorn-s,,Helevorn,,,,,,,,,,,,,"Verify canon, stardogg map","North ered luin, forest"
,,Rhimdath,,,,,,,,,,,,,"Verify canon, stardogg map"
,The Angle,,,,,,,,,,,,,,"Verify canon, stardogg map",Between Hoarwell and Bruinen
,Mt. Rerir,,,,,,,,,,,,,,"Verify canon, stardogg map","North ered luin, mountain"
dol-baran-s,Dol Baran (Brown Tower),Dol Baran,,,,,,,,TODO,,,TODO,,,Rohirric outpost south of Isengard
